Toi,Label,Orbital_period,Transit_duration,Transit_depth,Planet_radius,Planet_equilibrium_temperature,Magnitude,Stellar_temperature,Stellar_radius
1353.01,0,4.4350025,2.252,2085,9.91393,2535,10.1503,9706,1.87
1354.01,0,1.4287976,2.93,1768,9.00484,5621,8.78822,9224,1.65
1357.01,0,0.33759,1.351,529,2.96097,2725,10.2193,7387,1.37
1358.01,0,1.67346,2.54,390,5.10182,3304,8.63701,10445,2.45
1359.01,0,2.5152549,2.386,1870,13.4294,2311,10.2732,5915,2.11
1360.01,0,0.70902,2.49,570,5.18865,4453,10.0146,8999,2.36
1363.01,0,9.6926509,2.819,1393,13.5133,1045,10.3843,6012,3.51
1365.01,0,1.8286961,3.37,7283,21.4433,3235,10.4849,6046.3,1.23
1366.01,0,14.8626982,3.3250502,8264.219392,26.5090911,962.2429589,8.48216,5705,1.73364
1367.01,0,2.0881134,2.307,730,5.41738,2665,9.24102,6255.8,1.7
1368.01,0,1.25562,2.304,290,2.95064,2024,9.1384,5717,1.72
1369.01,0,7.6047417,5.23,1200,6.14418,1948,10.4216,9139,1.8
1370.01,0,5.2651271,2.463,3450,11.2446,1993,9.25068,8728,1.7
1372.01,0,6.1600888,1.67,1120,8.22262,964,10.3126,5772,1.55
1374.01,0,1.06884,2.512,470,10.3628,3736,9.8261,9222,4.94
1375.01,0,5.4561177,3.1,1360,5.78741,1480,10.4568,7465,1.51
1376.01,0,1.7380504,1.496,956,4.42263,1476,10.2566,6026,1.45
1377.01,0,1.99143,4.136,16745.8,,5058,10.1441,9458.2,
1378.01,0,5.7785318,2.348,4990,42.6903,1921,9.624,8224,2.92
1380.01,0,1.41072,2.623,500,8.4993,1863,9.32845,5197,3.84
1383.01,0,1.532703,2.698,1250,10.8699,3568,9.5621,6023.1,1.39
1384.01,0,0.7131492,2.428,450,4.89712,3234,10.0009,5128.9,1.93
1385.01,0,4.52318,5.099,25109.1,,,8.437,,
1387.01,0,0.78381,1.443,426.099,3.89595,2743,8.95861,7842,1.72
1390.01,0,2.6380089,3.55,1683,12.8098,3551,10.3093,7495,2.5
1391.01,0,2.7260173,2.703,1165,4.98036,2317,10.4602,5256,0.79
1392.01,0,2.86876,2.422,1030,8.48351,1983,10.399,8342,2.65
1393.01,0,0.5590256,0.688,660,4.22851,1866,10.1993,,1.35
1394.01,0,2.958148,3.769,980,4.47387,2311,9.44275,6294,1.58
1395.01,0,0.98736,1.464,370,3.41784,1987,10.1277,6301.3,1.69
1396.01,0,3.99307,4.783,3892.81,6.35126,1667,10.3217,4731.1,0.93
1397.01,0,8.6795072,3.628,10160,24.132,1366,10.1799,6057,1.14
1399.01,0,1.3812787,2.4,1573,5.91488,3488,10.2107,6483,1.38
1400.01,0,5.48923,3.29,910,11.8401,1987,10.938,6004,1.62
1401.01,0,7.3845072,4.531,25160,23.6091,,10.9828,6149.2,1.43
1402.01,0,0.43889,0.947,650,6.69456,3049,10.5896,7111,2.32
1403.01,0,2.3359622,6.0165684,3066.249275,18.3852989,2362.602031,10.7387,7577,2.0780001
1405.01,0,12.64001,6.893,9458.38,,1434,8.4239,5195.1,
1421.01,0,2.8879675,3.6626399,23489.33141,,1279.910501,10.5998,5780,
1423.01,0,2.7556532,3.3967282,2854.458929,6.4145519,967.6926252,10.9243,4993,0.696945
1424.01,0,4.8962484,2.362418,1186.028993,3.5246468,796.4215716,10.5152,4528.99,0.799965
1426.01,0,0.78999,1.153,5750,1.99,2398,9.76952,5558,1.1
1427.01,0,12.80758,3.596,27112.7,11.4222,643,10.0526,5094.4,0.63
1428.01,0,11.35626,6.047,2190,12.9372,1731,10.8475,6314,2.14
1429.01,0,0.6412558,1.1161082,1029.534833,4.841202,2573.956947,11.6459,5854.65,1.47292
146.01,0,6.30556,2.946,860,,,10.7124,,
1460.01,0,6.8424983,3.3079378,8029.880305,16.4578474,977.1959895,9.9176,5766,1.1282001
147.01,0,3.4231002,2.4377583,8643.101646,35.4084057,1900.958795,11.8999,5620.9,2.6126101
1474.01,0,5.222621,4.693629,15867.99202,3.7216015,329.6508495,14.1431,3453,0.275946
1479.01,0,16.6828999,1.804,2054,17.1854,550,10.364,6423,2.63
1480.01,0,3.354053,1.8984151,6389.17128,,2652.263542,8.7514,8181,
1481.01,0,2.1853174,1.656,1168,14.8742,1952,10.3209,8332,4.02
1483.01,0,5.0037857,4.154,1950,6.77338,2028,10.4935,6109,1.09
1484.01,0,1.1623941,1.266,1099,8.21669,1723,10.2108,5843.7,2.23
1486.01,0,0.2666485,1.075,230,1.30468,2072,9.9592,4154,0.71
1492.01,0,0.86673,1.089,662.925,3.54647,1739,9.76119,5904,1.25
1495.01,0,2.6277641,2.997,490,,1687,8.706101,3294,
1496.01,0,10.82661,6.877,5890,11.5303,1463,10.0478,5113,0.68
1497.01,0,0.8165295,2.294,468,4.12435,5356,9.95717,8911,1.85
1498.01,0,1.4014167,3.661,2730,11.8932,4713,9.6788,8014,1.6
1499.01,0,4.95898,1.831,230.232,,528,7.8165,3295,
1500.01,0,1.4147363,2.429,990,,1667,10.1871,4980,
1501.01,0,1.077774,2.682,2680,10.1773,4387,10.4089,7274,1.58
1502.01,0,2.7536237,2.39,1460,11.1685,2565,10.4824,5647,2.41
1503.01,0,1.6534102,3.102,600,6.07704,4329,10.2347,6928,1.46
1504.01,0,1.2456423,1.354,691,3.80598,1695,9.98645,6194,1.5
1505.01,0,3.4272549,5.9083927,569.4677099,7.7503736,1836.88767,9.27116,6338,2.0707099
1506.01,0,10.9115374,3.269,1039,18.4382,3198,9.8115,9195,3.37
1507.01,0,0.46741,1.25,1592.12,7.77804,5361,8.41718,7960.5,1.77
1508.01,0,2.1575124,2.236,550,11.8527,2244,10.471,8326,3.87
1509.01,0,1.577609,1.646,1055,9.73924,2058,9.42218,7856,2.91
151.01,0,1.59782,1.49,1713.69,3.59995,1548,11.0264,5037.6,0.79
1510.01,0,1.23852,3.138,440,7.11712,2736,10.1975,6524,3.4
1511.01,0,1.1025238,2.321,2919,15.8737,5314,10.381,9218,2
1512.01,0,1.597226,5.3721722,3834.126062,,1559.26512,10.262,,
1513.01,0,1.76589,3.807,730,4.06597,2509,10.2866,6221,1.55
1514.01,0,1.36991,4.156,1170,11.8886,3254,7.5586,7339.8,3.64
1515.01,0,3.66505,2.346,910,7.19016,1352,10.4433,6370,2.32
1517.01,0,2.25505,3.034,658,,,9.599,,
1519.01,0,1.0960111,3.167,2150,9.05714,,10.1914,6083,1.58
152.01,0,7.00776,2.68,3666.99,8.1288,1161,11.3569,6347,1.22
1520.01,0,6.1461734,5.386,1034,6.96236,2649,9.68805,6153,1.5
1521.01,0,4.1812866,4.394,4280,15.448,1585,9.78876,6146,2.31
1522.01,0,2.9798592,2.737,580,4.92227,2704,9.39575,9024,1.89
1523.01,0,6.72694,2.649,1070,5.19273,1123,10.3197,6745,1.53
1524.01,0,10.9554897,6.772,370,22.7316,3316,9.1325,8522,6.79
1525.01,0,0.6171788,1.433,519,7.26341,3260,10.3202,9603,3.14
1526.01,0,1.5309799,1.37,654,6.01061,1613,9.693811,6298,2.38
1529.01,0,0.8229,2.068,2660,,4343,10.4049,8078,
1530.01,0,0.50261,1.127,1120,6.28067,,9.9475,6941,1.67
1534.01,0,1.41853,2.728,560,3.93221,2481,9.867621,6329,1.68
1535.01,0,6.5344463,2.774,3240,15.3823,1559,10.4397,7715.3,2.67
1536.01,0,2.013653,2.1214907,822.8974252,9.0269074,3580.920225,10.3654,10310,2.67713
1539.01,0,2.590266,4.378,700,9.54526,2985,10.4116,5855,3.22
154.01,0,6.74657,1.803,2970,16.2785,833,10.0704,5910.7,2.57
1540.01,0,5.2273176,3.572,2856,,584,10.4234,3593,
1541.01,0,3.7983639,1.594,3194,13.7263,,9.7436,9500,2.36
1543.01,0,5.13664,4.45,930,7.04152,2355,10.06,9238,2.32
1545.01,0,1.5166573,1.607,1590,7.73846,1954,9.83204,6905.3,2
1547.01,0,0.71933,1.474,478.823,3.45648,2210,10.3973,5758,1.44
1549.01,0,2.5798051,3.413,5740,25.2815,2619,10.3959,6116.5,1.49
1550.01,0,1.6256942,1.988,1720,32.1007,3151,10.2936,6628,3.96
1552.01,0,7.57193,2.656,420,10.2119,1479,8.19,9146,4.72
1555.01,0,2.09989,0.908,27336.4,10.1564,1263,10.1688,6025.3,1.04
1556.01,0,1.44127,2.605,2750,9.20279,3409,9.79455,8009,1.65
1557.01,0,1.08697,1.967,860,4.98445,2042,10.4925,5751,1.69
1558.01,0,0.68601,1.614,910,,,10.485,,
156.01,0,14.152,3.599,3800,10.6751,1148,10.294,5823.9,1.28
1561.01,0,2.27456,3.32,1020,13.266,3374,10.2948,6777,3.35
1562.01,0,0.98999,2.05,420,3.95137,2612,9.10226,6208,1.84
1566.01,0,3.01106,3.073,1617.22,7.20703,1666,10.5907,6516,1.63
1567.01,0,,4.149,54500,21.0557,,10.374,4503.5,0.86
1568.01,0,1.35932,2.831,2840,10.3751,3113,9.74734,5421,0.94
1569.01,0,1.71614,2.038,681.449,14.1349,1550,10.424,5511.5,4.92
1570.01,0,1.74626,3.88,1110,5.62786,3218,9.4883,8348,1.8
1571.01,0,1.2427,1.563,663.745,6.05271,1660,10.2353,5624.8,2.14
1572.01,0,8.66698,6.104,9854.3,27.4804,1998,10.4562,6322.2,2.52
1574.01,0,,9.597,7440,11.3282,,10.2978,5791,1.21
1575.01,0,2.4611008,3.13,1795,12.3334,2685,10.3775,5429.5,1.63
1576.01,0,0.783879,1.4870966,274.5156373,9.6813253,2252.795616,9.7828,4975,5.3874698
1577.01,0,0.99837,1.632,2730,5.29489,1963,9.60027,6082,1.13
1578.01,0,1.97741,6.549,5470,17.5768,4083,10.1042,6742,2.11
1579.01,0,9.07768,2.78,19171.9,,1571,9.7745,8393.7,
158.01,0,2.51266,2.411,2790.01,13.3617,1478,11.2314,5988,2.3
1581.01,0,,4.23,8410,18.6201,,9.76978,5865,0.97
1582.01,0,1.8932775,3.118,3415,21.043,3814,10.0188,6904.3,2.04
1583.01,0,3.77188,2.923,450,10.0329,2363,9.5425,10097,4.62
1584.01,0,0.88654,1.679,870,24.9348,4438,9.27904,6919,4.27
1585.01,0,1.83641,2.222,470,10.6176,2722,8.9676,9542,5.03
1587.01,0,12.5343031,4.572,1517,8.71775,1292,10.2543,7275,2.51
1589.01,0,35.4028219,4.221,12666,21.7639,766,9.87542,7455,1.78
1590.01,0,3.10315,3.535,1760.07,,4184,10.2146,9050.3,
1591.01,0,,8.06,3010,10.4319,,9.64805,7519,1.7
1592.01,0,5.6318074,3.4553092,1186.148187,4.8217692,1190.356241,9.76636,5669.9,1.38826
1593.01,0,2.06313,2.157,600,11.9118,1831,9.1222,6716.5,4.77
1594.01,0,1.51233,2.59,640,11.1245,3240,9.7479,9447,4.35
1595.01,0,1.7498117,1.641,2549,8.13315,1520,10.4511,6222.3,1.53
1596.01,0,1.9734615,3.69,1295,16.6678,3193,10.0888,7962.9,3.62
1597.01,0,0.73772,1.057,980,4.68288,1853,10.1342,6001,1.49
160.01,0,4.608,3.383,3213.22,7.99698,1445,11.2901,5935,1.28
1600.01,0,0.361112,0.756,710,6.69136,2003,9.66027,6056.9,1.95
1604.01,0,3.46608,4.403,1620,20.8363,3450,9.08054,7249.8,3.02
1607.01,0,1.0357235,1.366,480,15.828,1691,8.4107,4963,7.83
1608.01,0,2.4727425,2.341,2929,23.6289,2298,7.42812,6057.7,2.13
1613.01,0,5.2469991,3.45,1180,5.46087,1381,10.4641,6651,1.44
1614.01,0,0.7438074,1.377,633,9.77911,1790,10.2351,5182,4.04
1615.01,0,3.9401791,1.991,13317,25.3897,1600,9.68708,7170,1.51
1617.01,0,1.4013505,1.562,1532,3.7143,1857,10.2505,5521,0.94
1618.01,0,2.1679,1.39,560,5.32848,2820,9.9272,10596,2
1619.01,0,2.3866952,2.654,586,9.72386,1936,10.0552,5017,4.73
1622.01,0,1.7126115,3.128,340,2.01928,2285,9.39435,5932.2,1
1623.01,0,0.7522775,1.073,1301,6.75509,,9.5287,7325.2,1.77
1624.01,0,5.8089284,5.137,1111,3.79308,1664,10.2763,6406,1.27
1625.01,0,1.49446,2.114,890,4.21366,2065,10.2918,6587,1.43
1632.01,0,8.2491871,4.9807847,117724.0283,8.0476984,264.4172054,14.9885,2990,0.165066
1635.01,0,34.9270483,2.7546907,110264.9392,18.8285063,242.488665,13.4447,3496,0.389199
